iter	Logloss
0	0.6675801252
1	0.6433950686
2	0.6212772115
3	0.6007459891
4	0.5824009559
5	0.5664296827
6	0.5469561754
7	0.5304570404
8	0.5143155595
9	0.5016573006
10	0.4896688573
11	0.4778244527
12	0.4689988549
13	0.4593285352
14	0.4501185542
15	0.4395730182
16	0.4320714312
17	0.4233827465
18	0.4166051181
19	0.4081892635
20	0.4029021508
21	0.3975763912
22	0.3929388995
23	0.3876127976
24	0.3809124006
25	0.3767090475
26	0.372092186
27	0.3682344448
28	0.3644030283
29	0.3601381265
30	0.3565688361
31	0.35169212
32	0.3475674919
33	0.3448040588
34	0.3423284854
35	0.3383714512
36	0.3357701044
37	0.3331695667
38	0.3309809193
39	0.3285746736
40	0.3261155608
41	0.3243237743
42	0.3228664601
43	0.3207798128
44	0.3191293268
45	0.3170236362
46	0.3157894901
47	0.3134142053
48	0.3117223965
49	0.3114966767
50	0.3099131225
51	0.3080495501
52	0.3064830477
53	0.3054648818
54	0.303741583
55	0.3020179107
56	0.3007113252
57	0.2994991474
58	0.298634044
59	0.2978579963
60	0.2957741807
61	0.2947144431
62	0.2933487672
63	0.2922838331
64	0.2917413465
65	0.2912335549
66	0.2899086728
67	0.2892813935
68	0.2880940157
69	0.2872465554
70	0.2862770248
71	0.2854056047
72	0.2843479519
73	0.2835721843
74	0.2830923976
75	0.2824519249
76	0.2812551187
77	0.2806976961
78	0.2796907945
79	0.2789339146
80	0.2783262388
81	0.2772244626
82	0.2765719478
83	0.2759292035
84	0.2752191541
85	0.2745315709
86	0.2740808782
87	0.2734903476
88	0.273241975
89	0.2726294761
90	0.2717341274
91	0.2715530911
92	0.2709923702
93	0.2702422738
94	0.2697361002
95	0.2686603376
96	0.2678870592
97	0.2668086828
98	0.266229852
99	0.2654452161
100	0.2649149895
101	0.2644721071
102	0.263694628
103	0.2629380904
104	0.2619993652
105	0.2613187832
106	0.2606161084
107	0.2599421543
108	0.2590292247
109	0.258465081
110	0.2577022423
111	0.257211098
112	0.2565840521
113	0.2558518788
114	0.2551895311
115	0.2547139297
116	0.2538134623
117	0.2530062202
118	0.2523348643
119	0.2515304694
120	0.2508786702
121	0.2503072607
122	0.2499160163
123	0.2495225938
124	0.2488077835
125	0.2482245186
126	0.2476237507
127	0.247295813
128	0.2467635637
129	0.2463909426
130	0.2461161209
131	0.2457752075
132	0.2452373573
133	0.2444642502
134	0.2440700963
135	0.2437433722
136	0.2428542001
137	0.2425920429
138	0.2418408884
139	0.2410506671
140	0.2405609076
141	0.2401041472
142	0.2393856341
143	0.2389636309
144	0.2384076709
145	0.2378065917
146	0.2371248273
147	0.2367339718
148	0.2362239554
149	0.2356528416
150	0.2352435029
151	0.2349715906
152	0.2342706739
153	0.2335341287
154	0.2330238789
155	0.2326093748
156	0.231989159
157	0.2313373443
158	0.2310426235
159	0.2305168154
160	0.2301207012
161	0.2293402972
162	0.2288229995
163	0.2284833775
164	0.2278377083
165	0.2274150828
166	0.2269925196
167	0.2264099081
168	0.2259795969
169	0.2257055686
170	0.2252285202
171	0.2250229952
172	0.2242024041
173	0.2237481797
174	0.2233295993
175	0.2227101925
176	0.2224606686
177	0.221774859
178	0.2213759599
179	0.2207226361
180	0.2204455584
181	0.2198750358
182	0.2193023661
183	0.2189111372
184	0.2183218513
185	0.2179745591
186	0.2176229416
187	0.2169516946
188	0.2163121865
189	0.2160305658
190	0.2155936889
191	0.2151926739
192	0.2145183619
193	0.2138714947
194	0.2135533898
195	0.2132657948
196	0.2129146752
197	0.2123993067
198	0.2121899854
199	0.2117609188
200	0.2113208369
201	0.2108622562
202	0.2106603718
203	0.2102032536
204	0.2096294326
205	0.2089723747
